1,1,0,0,325,225,50,1944,true
2,1,315,227,325,525,50,937,true
3,1,320,503,225,225,50,816,true
4,1,219,232,425,525,50,800,true
5,1,429,536,325,525,50,586,true
6,1,328,525,525,525,50,613,true
7,1,529,536,225,225,50,834,true
8,1,222,231,425,425,50,755,true
9,1,429,423,325,225,50,644,true
10,1,329,231,225,425,50,752,true
11,1,230,425,325,325,50,548,true
12,1,315,326,225,425,50,716,true
13,1,237,428,225,525,50,534,true
14,1,225,533,325,325,50,650,true
15,1,317,316,425,525,50,939,true
16,1,425,523,325,325,50,701,true
17,1,326,334,325,525,50,730,true
18,1,326,530,425,325,50,687,true
19,1,421,335,525,325,50,559,true
20,1,525,328,325,525,50,768,true
21,1,337,511,425,525,50,534,true
22,1,422,531,225,225,50,920,true
23,1,235,240,525,425,50,779,true
24,1,523,415,225,525,50,700,true
25,1,235,516,425,225,50,850,true
26,1,423,231,325,525,50,783,true
27,1,328,519,425,325,50,684,true
28,1,422,328,525,425,50,602,true
29,1,524,426,425,425,50,631,true
30,1,424,427,525,325,50,782,true
31,1,519,332,425,425,50,619,true
32,1,427,424,525,225,50,666,true
33,1,522,235,325,325,50,899,true
34,1,328,320,425,525,50,751,true
35,1,422,518,525,425,50,565,true
36,1,519,427,425,225,50,716,true
37,1,429,232,425,225,50,418,true
38,1,429,232,425,225,50,782,true
39,1,434,236,525,325,50,751,true
40,1,525,332,325,525,50,750,true
41,1,338,534,525,525,50,618,true
42,1,523,533,525,525,50,448,true
43,1,523,531,425,425,50,783,true
44,1,417,423,525,225,50,634,true
45,1,514,224,225,425,50,785,true
46,1,240,416,225,225,50,665,true
47,1,240,221,225,425,50,650,true
48,1,226,422,325,425,50,535,true
49,1,330,428,325,425,50,483,true
50,1,326,424,225,525,50,701,true
51,1,223,529,325,425,50,598,true
52,1,322,424,425,225,50,800,true
53,1,424,242,225,525,50,602,true
54,1,226,536,525,325,50,699,true
55,1,524,332,525,225,50,585,true
56,1,524,234,525,425,50,630,true
57,1,512,424,425,425,50,568,true
58,1,435,420,225,525,50,700,true
59,1,227,530,325,425,50,549,true
60,1,318,421,325,425,50,515,true
61,1,318,422,225,325,50,652,true
62,1,230,328,325,225,50,733,true
